"ID Usuario","Fecha de Transaccion","Tipo de Resultado","Importe"
"prueba@gmail.com","20230620","Deposito","100.0"
"prueba@gmail.com","20230620","Deposito","30.0"
"prueba@gmail.com","20230621","Deposito","41.63"
"prueba@gmail.com","20230621","Deposito","10.0"
"prueba@gmail.com","20230621","Gana","10.0"
"prueba@gmail.com","20230621","Gana","10.0"
"zeus@hotmail.com","20230621","Gana","300.0"
"zeus@hotmail.com","20230621","Gana","300.0"
"zeus@hotmail.com","20230621","Gana","900.0"
"uma@gmail.com","20230621","Gana","300.0"
"uma@gmail.com","20230621","Gana","300.0"
"uma@gmail.com","20230621","Gana","300.0"
